SAS_NAME,SESTAT_NAME,DESCRIPTION,SOURCE,QUESTION,DOMAIN,SAS_FMT
D2DGRUS,P_ED_2ND_HD_SCHOOL_REGION_US_NONUS,Location of school awarding second highest degree (U.S./Non-U.S.),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with two or more degrees,$US_NONUS_CODES
D2EM,P_ED_2ND_DEGREE_REAS_EMPR_REQ,Reason for obtaining this degree: expected/required by employer,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 2nd highest degree? (Response to: 'Required or expected by employer'),All respondents with two or more degrees,$YES_NO_CODES
D2GRD,P_ED_2ND_DEGREE_REAS_PREP_GRAD_SCHL,Reason for obtaining this degree: prepare for graduate school/further education,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 2nd highest degree? (Response to: 'To prepare for graduate school or further education'),All respondents with two or more degrees,$YES_NO_CODES
D2INCD,P_ED_2ND_HD_SCHOOL_CODE,Institution code for school awarding second highest degree,RECODE,From which academic institution did you receive your 2nd highest degree (institution code)?,All respondents with two or more degrees,N/A
D2INT,P_ED_2ND_DEGREE_REAS_PERSONL,Reason for obtaining this degree: leisure/personal interest,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 2nd highest degree? (Response to: 'For leisure or personal interest'),All respondents with two or more degrees,$YES_NO_CODES
D2LIC,P_ED_2ND_DEGREE_REAS_LICENSING,Reason for obtaining this degree: licensure/certification,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 2nd highest degree? (Response to: 'For licensure or certification'),All respondents with two or more degrees,$YES_NO_CODES
D2MN,P_ED_2ND_HD_DEGREE_AWARD_MO,Month of award of second highest degree,CG0: SYSTEM/CGN: D11.D2.BMM/CGNR: SYSTEM,In what month was your 2nd highest degree awarded?,All respondents with two or more degrees,MONTH_GROUP
D2OT,P_ED_2ND_DEGREE_REAS_OTHR,Reason for obtaining this degree: other,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 2nd highest degree? (Response to: 'Other'),All respondents with two or more degrees,$YES_NO_CODES
D2PBP21C,P_ED_2ND_HD_SCHOOL_PUB_OR_PRIV_2021,Public/private  status of school awarding second highest degree - 2021 Carnegie code,SYSTEM,Derived within SESTAT from reported information,All respondents with at least two degrees,$PUBLIC_PRIVATE_CODES
D2RGN,P_ED_2ND_HD_SCHOOL_REGION,Location of school awarding second highest degree (region code),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with two or more degrees,$REGION_CODES
D2SKL,P_ED_2ND_DEGREE_REAS_ACQ_SKILL,Reason for obtaining this degree: acquire further skills in field,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain 2nd highest degree? (Response to: 'To gain further skills or knowledge in your academic or occupational field'),All respondents with two or more degrees,$YES_NO_CODES
D2ST_TOGA,P_ED_2ND_HD_SCHOOL_ST_CTRY_CD_TOGA,Location of school awarding second highest degree (state/country code),SYSTEM,Derived within SESTAT from reported information,All respondents with two or more degrees,$TOGALOCAT_CG
D2YR,P_ED_2ND_HD_DEGREE_AWARD_YR,Year of award of second highest degree,CG0: SYSTEM/CGN: D11.D2.BYY/CGNR: SYSTEM,In what year was your 2nd highest degree awarded?,All respondents with two or more degrees,NUMERIC_FOUR
D33YR,Q_ED_3RD_HD_DEGREE_AWARD_YR_3_YR_GROUPING,Year of award of third highest degree (3 year intervals),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with three or more degrees,THREE_YEAR_GROUP_CODES_2023_
