SAS_NAME,SESTAT_NAME,DESCRIPTION,SOURCE,QUESTION,DOMAIN,SAS_FMT
HISPCAT1,U_DEM_HISPANIC_YES_MEXICAN,"Hispanic Mexican, Mexican American, or Chicano",CG0: E20.1/CGN: E20.1/CGNR: E20.1,"Are you of Hispanic, Latino, or Spanish origin? Yes, Mexican, Mexican American, or Chicano",All respondents,$YES_NO_CODES
HISPCAT2,U_DEM_HISPANIC_YES_PUERTORICAN,Hispanic Puerto Rican,CG0: E20.2/CGN: E20.2/CGNR: E20.2,"Are you of Hispanic, Latino, or Spanish origin? Yes, Puerto Rican",All respondents,$YES_NO_CODES
HISPCAT3,U_DEM_HISPANIC_YES_CUBAN,Hispanic Cuban,CG0: E20.3/CGN: E20.3/CGNR: E20.3,"Are you of Hispanic, Latino, or Spanish origin? Yes, Cuban",All respondents,$YES_NO_CODES
HISPCAT4,U_DEM_HISPANIC_YES_OTHER,"Another Hispanic, Latino, or Spanish origin",CG0: E20.4/CGN: E20.4/CGNR: E20.4,"Are you of Hispanic, Latino, or Spanish origin? Yes, another Hispanic, Latino, or Spanish origin, specify",All respondents,$YES_NO_CODES
HRSWK,B_PRINCIPAL_JOB_WKLY_HRS,Principal job: hours per week typically worked,CG0: A37/CGN: A37/CGNR: A37,"During a typical week on your principal job, how many hours did you work?","Working during the week of February 1, 2023",HRSWK_CODES
HSNOI,L_ED_HS_DEGREE_NONE,Did not finish high school,CG0: SYSTEM/CGN: D01.NO/CGNR: SYSTEM,Did Not Finish High School? (Marked box),All respondents,$NO_DIPLOMA_CODES
HSST_TOGA,L_ED_HS_SCHOOL_ST_CTRY_CD_TOGA,Location of high school (state/country code),SYSTEM,Derived within SESTAT from reported information,All respondents,$TOGALOCAT_CG
HSYR,L_ED_HS_DEGREE_AWARD_YR,Year received high school diploma,CG0: SYSTEM/CGN: D01.YY/CGNR: SYSTEM,In what year did you receive your high school diploma or high school equivalency certificate?,All respondents,NUMERIC_FOUR
INDCODE,E_JOB_EMPLR_INDUSTRY_CODE,Census industry code for employer,CGO: SYSTEM/CGN: SYSTEM,Derived within SESTAT from reported information,All respondents,$INDUSTRY_CODES_2013_
JAPANESE,U_DEM_RACE_JAPANESE,Japanese racial background indicator,SYSTEM,Derived within SESTAT from reported information,All respondents,$MARK_ALL_CODES
JOBINS,E_JOB_EMPLR_BENEFITS_HEALTHINS,Available benefits: health insurance,CG0: A40.1/CGN: A40.1/CGNR: A40.1,"Concerning your principal job during the week of February 1, 2023, were any of the following benefits available to you, even if you chose not to take them? (Response to: Health insurance that was at least partially paid by your employer)","Working during the week of February 1, 2023",$YES_NO_CODES
JOBPENS,E_JOB_EMPLR_BENEFITS_PENSION,Available benefits: pension/retirement plan,CG0: A40.2/CGN: A40.2/CGNR: A40.2,"Concerning your principal job during the week of February 1, 2023, were any of the following benefits available to you, even if you chose not to take them? (Response to: A pension plan or a retirement plan to which your employer contributed)","Working during the week of February 1, 2023",$YES_NO_CODES
JOBPROFT,E_JOB_EMPLR_BENEFITS_PROFIT_SHARING,Available benefits: profit-sharing plan,CG0: A40.3/CGN: 40.3/CGNR: A40.3,"Concerning your principal job during the week of February 1, 2023, were any of the following benefits available to you, even if you chose not to take them? (Response to: A profit-sharing plan)","Working during the week of February 1, 2023",$YES_NO_CODES
JOBSATIS,F_JOB_SATISFACTION_OVERALL,Job satisfaction,CG0: A29/CGN: A29/CGNR: A29,"How would you rate your overall satisfaction with the principal job you held during the week of February 1, 2023?","Working during the week of February 1, 2023",$SATISFIED_CODES
JOBVAC,E_JOB_EMPLR_BENEFITS_VACATION,Available benefits: paid vacation/sick/personal days,CG0: A40.5/CGN: A40.5/CGNR: A40.5,"Concerning your principal job during the week of February 1, 2023, were any of the following benefits available to you, even if you chose not to take them? (Response to: Paid vacation, sick, or personal days)","Working during the week of February 1, 2023",$YES_NO_CODES
KOREAN,U_DEM_RACE_KOREAN,Korean racial background indicator,SYSTEM,Derived within SESTAT from reported information,All respondents,$MARK_ALL_CODES
LFSTAT,A_JOB_STATUS_LABOR_FORCE_STAT,Labor force status,CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,All respondents,$LABOR_FORCE_STATUS_CODES
LOOKWK,A_JOB_STATUS_LOOKING_FOR_WRK_IND,"Not working, looking for work",CG0: A02/CGN: A02/CGNR: A02,"Did you look for work during the four weeks preceding February 1, 2023? This would be between January 4th and February 1st.","Not working during the week of February 1, 2023",$YES_NO_CODES
LWMN,C_JOB_LAST_WRKD_MO,Month last worked,CG0: A04.MM/CGN: A04.MM/CGNR: A04.MM,"Prior to the week of February 1, 2023, when did you last work for pay or profit? [Month response]","Not working during the week of February 1, 2023, except those who have never worked",MONTH_GROUP
LWNVR,A_JOB_NEVER_WORKED_IND,Never worked,CG0: A04.NEVER/CGN: A04.NEVER/CGNR: A04.NEVER,"Prior to the week of February 1, 2023, when did you last work for pay or profit? (Responded by checking box Never worked for pay or profit)","Not working during the week of February 1, 2023",$NEVER_WORK_CODES
LWYR,C_JOB_LAST_WRKD_YR,Year last worked,CG0: A04.YY/CGN: A04.YY/CGNR: A04.YY,"Prior to the week of February 1, 2023, when did you last work for pay or profit? [Year response]","Not working during the week of February 1, 2023, except those who have never worked",NUMERIC_FOUR
MARIND,W_DEM_MARITAL_STAT_MARRIED,Marital status indicator,CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,All respondents,$YES_NO_CODES
MARSTA,W_DEM_MARITAL_STATUS,Marital status,CG0: E01/CGN: E01/CGNR: E01,"On February 1, 2023 were you... (Response to: marital status categories)...",All respondents,$MARITAL_STATUS_CODES_R1_
MGRNAT,F_JOB_MGR_TECH_EXPERTSE_PHYS_SCI,"Job required technical expertise at the bachelor's level or higher: eng, comp sci, math, nat sciences",CG0: A19.1/CGN: A19.1/CGNR: A19.1,"Did your duties on this job require the technical expertise of a bachelor's degree or higher in engineering, computer science, math, or the natural sciences?","Working during the week of February 1, 2023",$YES_NO_CODES
MGROTH,F_JOB_MGR_TECH_EXPERTSE_OTHER,Job required technical expertise at the bachelor's level or higher: Other fields (e.g. health/business),CG0: A19.3/CGN: A19.3/CGNR: A19.3,"Did your duties on this job require the technical expertise of a bachelor's degree or higher in some other field (e.g., health, business or education)?","Working during the week of February 1, 2023",$YES_NO_CODES
MGRSOC,F_JOB_MGR_TECH_EXPERTSE_SOCIAL_SCI,Job required technical expertise at the bachelor's level or higher: social sciences,CG0: A19.2/CGN: A19.2/CGNR: A19.2,Did your duties on this job require the technical expertise of a bachelor's degree or higher in the social sciences?,"Working during the week of February 1, 2023",$YES_NO_CODES
MR3YR,M_ED_MR_DEGREE_AWARD_YR_3_YR_GROUPING,Year of award of most recent degree (3-year intervals),CG0: RECODE/CGN: SYSTEM/CGNR: RECODE,Derived within SESTAT from reported information,All respondents,THREE_YEAR_GROUP_CODES_2023_
MR5YR,M_ED_MR_DEGREE_AWARD_YR_5_YR_GROUPING,Year of award of most recent degree (5-year intervals),CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,All respondents,FIVE_YEAR_GROUP_CODES_2020_
MRADV,M_ED_MR_DEGREE_REAS_ADVANCEMT,"Reason for obtaining most recent degree: increase opportunities for promotion, advancement, higher salary",CG0: D07.6/CGN: SYSTEM/CGNR: E07.6,"For which of the following reasons did you obtain your most recent degree? (Response to: 'To increase opportunities for promotion, advancement or higher salary')?",All respondents,$YES_NO_CODES
MRCAR,M_ED_MR_DEGREE_REAS_BEGIN_CAREER,Reason for obtaining most recent degree: further education before career,CG0: D07.1/CGN: SYSTEM/CGNR: E07.1,For which of the following reasons did you obtain your most recent degree? (Response to: 'To gain further education before beginning a career'),All respondents,$YES_NO_CODES
MRCHG,M_ED_MR_DEGREE_REAS_CHG_FLD,Reason for obtaining most recent degree: change academic/occupational field,CG0: D07.3/CGN: SYSTEM/CGNR: E07.3,For which of the following reasons did you obtain your most recent degree? (Response to: 'To change your academic or occupational field'),All respondents,$YES_NO_CODES
MRCRN21C,M_ED_MR_SCHOOL_CARNEGIE_CLS_2021,Public/private  status of school awarding most recent degree - 2021 Carnegie code,SYSTEM,Derived within SESTAT from reported information,All respondents,$CARN21C
MRDACYR,M_ED_MR_DEGREE_AWARD_ACADEMIC_YR,Academic year of award for most recent degree,CG0: RECODE/CGN: SYSTEM/CGNR: RECODE,Derived within SESTAT from reported information,All respondents,N/A
MRDG,M_ED_MR_DEGREE_TYPE,Most recent degree type,CG0: D02/CGN: D11.D1.C/CGNR: E02,What type of degree did you earn?,All respondents,$DEGREE_CODES
MRDGRUS,M_ED_MR_SCHOOL_REGION_US_NONUS,Location of school awarding most recent degree (U.S./Non-U.S.),CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,All respondents,$US_NONUS_CODES
MREM,M_ED_MR_DEGREE_REAS_EMPR_REQ,Reason for obtaining most recent degree: required/expected by employer,CG0: D07.7/CGN: SYSTEM/CGNR: E07.7,For which of the following reasons did you obtain your most recent degree? (Response to: 'Required or expected by employer'),All respondents,$YES_NO_CODES
MRGRD,M_ED_MR_DEGREE_REAS_PREP_GRAD_SCHL,Reason for obtaining most recent degree: prepare for grad school/further education,CG0: D07.2/CGN: SYSTEM/CGNR: E07.2,For which of the following reasons did you obtain your most recent degree? (Response to: 'To prepare for graduate school or further education'),All respondents,$YES_NO_CODES
MRINT,M_ED_MR_DEGREE_REAS_PERSONL,Reason for obtaining most recent degree: leisure/personal interest,CG0: D07.8/CGN: SYSTEM/CGNR: E07.8,For which of the following reasons did you obtain your most recent degree? (Response to: 'For leisure or personal interest'),All respondents,$YES_NO_CODES
MRLIC,M_ED_MR_DEGREE_REAS_LICENSING,Reason for obtaining most recent degree: licensure/certification,CG0: D07.5/CGN: SYSTEM/CGNR: E07.5,For which of the following reasons did you obtain your most recent degree? (Response to: 'For licensure or certification'),All respondents,$YES_NO_CODES
MRMN,M_ED_MR_DEGREE_AWARD_MO,Month of award of most recent degree,CG0: D05.MM/CGN: D11.D1.BMM/CGNR: E05.MM,In what month was your most recent degree awarded?,All respondents,MONTH_GROUP
MROT,M_ED_MR_DEGREE_REAS_OTHR,Reason for obtaining most recent degree: other,CG0: D07.9/CGN: SYSTEM/CGNR: E07.9,For which of the following reasons did you obtain your most recent degree? (Response to: 'Other'),All respondents,$YES_NO_CODES
MRPBP21C,M_ED_MR_SCHOOL_PUB_OR_PRIV_2021,Public/private  status of school awarding most recent degree - 2021 Carnegie code,SYSTEM,Derived within SESTAT from reported information,All respondents,$PUBLIC_PRIVATE_CODES
MRRGN,M_ED_MR_SCHOOL_REGION,Location of school awarding most recent degree (region code),CG0: RECODE/CGN: SYSTEM/CGNR: RECODE,Derived within SESTAT from reported information,All respondents,$REGION_CODES
MRSKL,M_ED_MR_DEGREE_REAS_ACQ_SKILL,Reason for obtaining most recent degree: acquire further skills in field,CG0: D07.4/CGN: SYSTEM/CGNR: E07.4,For which of the following reasons did you obtain your most recent degree? (Response to: 'To gain further skills or knowledge in your academic or occupational field'),All respondents,$YES_NO_CODES
MRST_TOGA,M_ED_MR_SCHOOL_ST_CTRY_CD_TOGA,Location of school awarding most recent degree (state/country  code),SYSTEM,Derived within SESTAT from reported information,All respondents,$TOGALOCAT_CG
MRYR,M_ED_MR_DEGREE_AWARD_YR,Year of award of most recent degree,CG0: D05.YY/CGN: D11.D1.BYY/CGNR: E05.YY,In what year was your most recent degree awarded?,All respondents,N/A
N2ACED,N_ED_REF_WK_ENROLL_ED_CAT_NEW2,Code for field of study during reference week - best code,CG0: D14/CGN: D18/CGNR: D14,"Using the FIELD OF STUDY list on pages [XX-XX], choose the code that best describes the field of study for this degree. (Best code)","Took courses/enrolled in college/university during the week of February 1, 2023",$EDUC23F
N2ACEDX,N_ED_REF_WK_ENROLL_ED_CAT_RPTD2,Code for field of study during reference week - reported code,CG0: D14/CGN: D18/CGNR: E14,"Using the FIELD OF STUDY list on pages [XX-XX], choose the code that best describes the field of study for this degree. (Reported code)","Took courses/enrolled in college/university during the week of February 1, 2023",$EDUC23F
N2BAMED,J_ED_BA_MAJOR_ED_CAT_NEW2,Field of study of for first bachelor's degree - best code,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What is the major field of study for your first BA degree? (best code),All respondents,$EDUC23F
N2BAMEDX,J_ED_BA_MAJOR_ED_CAT_RPTD_NEW2,Field of study for first bachelor's degree - reported code (do not use for analysis - use best code),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What is the major field of study for your first BA degree? (respondent code),All respondents,$EDUC23F
N2BANED,J_ED_BA_MAJOR_2ND_MAJ_ED_CAT_NEW2,Field of study for second major for first bachelor's degree - best code,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What is the second major field of study for your first BA degree? (best code),All respondents,$EDUC23F
N2BANEDX,J_ED_BA_MAJOR_2ND_MAJ_ED_CAT_RPTD_NEW2,Field of study of second major for first bachelor's degree - reported code (do not use for analysis - use best code),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What is the second major field of study for your first BA degree? (respondent code),All respondents,$EDUC23F
N2D2MED,P_ED_2ND_HD_MAJOR_ED_CAT_NEW2,Field of study for second highest degree - best code,CG0: SYSTEM/CGN: D11.D2.E.1/CGNR: SYSTEM,What is the major field of study for your 2nd highest degree? (best code),All respondents with two or more degrees,$EDUC23F
N2D2MEDX,P_ED_2ND_HD_MAJOR_ED_CAT_RPTD_NEW2,Field of study for second highest degree - reported code (do not use for analysis - use best code),CG0: SYSTEM/CGN: D11.D2.E.1/CGNR: SYSTEM,What is the major field of study for your 2nd highest degree? (respondent code),All respondents with two or more degrees,$EDUC23F
N2D2NED,P_ED_2ND_HD_MAJOR_2ND_MAJ_ED_CAT_NEW2,Field of study of second major for second highest degree - best code,CG0: SYSTEM/CGN: D11.D2.E.2/CGNR: SYSTEM,What is the second major field of study for your 2nd highest degree? (best code),All respondents with two or more degrees,$EDUC23F
N2D2NEDX,P_ED_2ND_HD_MAJOR_2ND_MAJ_ED_CAT_RPTD_NEW2,Field of study of second major for second highest degree - reported code (do not use for analysis - use best code),CG0: SYSTEM/CGN: D11.D2.E.2/CGNR: SYSTEM,What is the second major field of study for your 2nd highest degree? (respondent code),All respondents with two or more degrees,$EDUC23F
N2D3MED,Q_ED_3RD_HD_MAJOR_ED_CAT_NEW2,Field of study for third highest degree - best code,CG0: SYSTEM/CGN: D11.D3.E.1/CGNR: SYSTEM,What is the major field of study for your 3rd highest degree? (best code),All respondents with three or more degrees,$EDUC23F
N2D3MEDX,Q_ED_3RD_HD_MAJOR_ED_CAT_RPTD_NEW2,Field of study for third highest degree - reported code (do not use for analysis - use best code),CG0: SYSTEM/CGN: D11.D3.E.1/CGNR: SYSTEM,What is the major field of study for your 3rd highest degree? (respondent code),All respondents with three or more degrees,$EDUC23F
N2D3NED,Q_ED_3RD_HD_MAJOR_2ND_MAJ_ED_CAT_NEW2,Field of study of second major for third highest degree - best code,CG0: SYSTEM/CGN: D11.D3.E.2/CGNR: SYSTEM,What is the second major field of study for your 3rd highest degree? (best code),All respondents with three or more degrees,$EDUC23F
N2D3NEDX,Q_ED_3RD_HD_MAJOR_2ND_MAJ_ED_CAT_RPTD_NEW2,Field of study of second major for third highest degree - reported code (do not use for analysis - use best code),CG0: SYSTEM/CGN: D11.D3.E.2/CGNR: SYSTEM,What is the second major field of study for your 3rd highest degree? (respondent code),All respondents with three or more degrees,$EDUC23F
N2D4MED,R_ED_4TH_HD_MAJOR_ED_CAT_NEW2,Field of study for fourth highest degree - best code,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What is the major field of study for your 4th highest degree? (best code),All respondents with four or more degrees,$EDUC23F
N2D4MEDX,R_ED_4TH_HD_MAJOR_ED_CAT_RPTD_NEW2,Field of study for fourth highest degree - reported code (do not use for analysis - use best code),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What is the major field of study for your 4th highest degree? (respondent code),All respondents with four or more degrees,$EDUC23F
N2D4NED,R_ED_4TH_HD_MAJOR_2ND_MAJ_ED_CAT_NEW2,Field of study of second major for fourth highest degree - best code,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What is the second major field of study for your 4th highest degree? (best code),All respondents with four or more degrees,$EDUC23F
N2D4NEDX,R_ED_4TH_HD_MAJOR_2ND_MAJ_ED_CAT_RPTD_NEW2,Field of study of second major for fourth highest degree - reported code (do not use for analysis - use best code),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What is the second major field of study for your 4th highest degree? (respondent code),All respondents with four or more degrees,$EDUC23F
N2D5MED,S_ED_5TH_HD_MAJOR_ED_CAT_NEW2,Field of study for fifth highest degree - best code,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What is the major field of study for your 5th highest degree? (best code),All respondents with five or more degrees,$EDUC23F
N2D5MEDX,S_ED_5TH_HD_MAJOR_ED_CAT_RPTD_NEW2,Field of study for fifth highest degree - reported code (do not use for analysis - use best code),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What is the major field of study for your 5th highest degree? (respondent code),All respondents with five or more degrees,$EDUC23F
N2D5NED,S_ED_5TH_HD_MAJOR_2ND_MAJ_ED_CAT_NEW2,Field of study of second major for fifth highest degree - best code,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What is the second major field of study for your 5th highest degree? (best code),All respondents with five or more degrees,$EDUC23F
N2D5NEDX,S_ED_5TH_HD_MAJOR_2ND_MAJ_ED_CAT_RPTD_NEW2,Field of study of second major for fifth highest degree - reported code (do not use for analysis - use best code),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What is the second major field of study for your 5th highest degree? (respondent code),All respondents with five or more degrees,$EDUC23F
N2DGRMED,O_ED_HD_MAJOR_ED_CAT_NEW2,Field of study for highest degree - best code,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What is the major field of study for your highest degree? (best code),All respondents,$EDUC23F
N2HDMEDX,O_ED_HD_MAJOR_ED_CAT_RPTD_NEW2,Field of study for highest degree - reported code (do not use for analysis - use best code),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What is the major field of study for your highest degree? (respondent code),All respondents,$EDUC23F
N2HDNED,O_ED_HD_MAJOR_2ND_MAJ_ED_CAT_NEW2,Field of study of second major for highest degree - best code,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What is the second major field of study for your highest degree? (best code),All respondents,$EDUC23F
N2HDNEDX,O_ED_HD_MAJOR_2ND_MAJ_ED_CAT_RPTD_NEW2,Field of study of second major for highest degree - reported code (do not use for analysis - use best code),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What is the second major field of study for your highest degree? (respondent code),All respondents,$EDUC23F
N2MRMED,M_ED_MR_MAJOR_ED_CAT_NEW2,Field of study of major for most recent degree - best code,CG0: D04/CGN: D11.D1.E.1/CGNR: D04,What is the major field of study for your most recent degree? (best code),All respondents,$EDUC23F
N2MRMEDX,M_ED_MR_MAJOR_ED_CAT_RPTD_NEW2,Field of study of major for most recent degree - reported code (do not use for analysis - use best code),CG0: D04/CGN: D11.D1.E.1/CGNR: E04,What is the major field of study for your most recent degree? (respondent code),All respondents,$EDUC23F
N2MRNED,M_ED_MR_MAJOR_2ND_MAJ_ED_CAT_NEW2,Field of study of second major for most recent degree - best code,CG0: N/A/CGN: D11.D1.E.2/CGNR: N/A,What is the second major field of study for your most recent degree? (best code),All respondents,$EDUC23F
N2MRNEDX,M_ED_MR_MAJOR_2ND_MAJ_ED_CAT_RPTD_NEW2,Field of study of second major for most recent degree - reported code (do not use for analysis - use best code),CG0: N/A/CGN: D11.D1.E.2/CGNR: N/A,What is the second major field of study for your most recent degree? (respondent code),All respondents,$EDUC23F
N2OCBLST,C_JOB_LAST_OCC_GRP_BROAD_NEW2,Job code for last job (broad group),CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,"Not working during the week of February 1, 2023, except those who have never worked",$OCC19BROAD
N2OCMLST,C_JOB_LAST_OCC_GRP_MAJOR_NEW2,Job code for last job (major group),CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,"Not working during the week of February 1, 2023, except those who have never worked",$MAJOR_OCC_GROUP_CODES_NEW
N2OCPRBG,B_JOB_OCC_GRP_BROAD_NEW2,Job code for principal job (broad group),CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2023",$OCC19BROAD
N2OCPRMG,B_JOB_OCC_GRP_MAJOR_NEW2,Job code for principal job (major group),CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2023",$MAJOR_OCC_GROUP_CODES_NEW
N3OCLST,C_JOB_LAST_JOB_CAT_NEW3,Job code for last job - best code,CG0: A07/CGN: A07/CGNR: A07,"Using the JOB CATEGORY list on pages [XX-XX], choose the code that best describes the last job you held prior to the week of February 1, 2023. (Best code)","Not working during the week of February 1, 2023, except those who have never worked",$OCC23CNT
N3OCLSTX,C_JOB_LAST_JOB_CAT_RPTD_NEW3,Job code for last job - reported code (do not use for analysis - use best code),CG0: A07/CGN: A07/CGNR: A07,"Using the JOB CATEGORY list on pages [XX-XX], choose the code that best describes the last job you held prior to the week of February 1, 2023. (Reported code)","Not working during the week of February 1, 2023, except those who have never worked",$OCC23CNT
N3OCNLST,C_JOB_LAST_OCC_GRP_MINOR_NEW3,Job code for last job (minor group),CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,"Not working during the week of February 1, 2023, except those who have never worked",$OC23PNG
N3OCPR,B_JOB_CAT_NEW3,Job code for principal job - best code,CG0: A18/CGN: A18/CGNR: A18,"Using the JOB CATEGORY list on pages [XX-XX], choose the code that best describes the principal job you held during the week of February 1, 2023. (Best code)","Working during the week of February 1, 2023",$OCC23CNT
N3OCPRNG,B_JOB_OCC_GRP_MINOR_NEW3,Job code for principal job (minor group),CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2023",$OC23PNG
N3OCPRX,B_JOB_CAT_RPTD_NEW3,Job code for principal job - reported code (do not use for analysis - use best code),CG0: A18/CGN: A18/CGNR: A18,"Using the JOB CATEGORY list on pages [XX-XX], choose the code that best describes the principal job you held during the week of February 1, 2023. (Reported code)","Working during the week of February 1, 2023",$OCC23CNT
NACEDMG,N_ED_REF_WK_ENROLL_ED_CAT_MAJOR_NEW,Education code for field of study during reference week (major group),CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,"Took courses/enrolled in college/university during the week of February 1, 2023",$MAJOR_GROUP_CODES_NEW
NACEDNG,N_ED_REF_WK_ENROLL_ED_CAT_MINOR_NEW,Education code for field of study during reference week (minor group),CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,"Took courses/enrolled in college/university during the week of February 1, 2023",$MINOR_ED_GROUP_CODES_NEW
NATIVE,U_DEM_RACE_NATIVE,American Indian/Alaska Native racial background indicator,CG0: SYSTEM/CGN: E21.1/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents,$MARK_ALL_CODES
NBAMEBG,J_ED_BA_MAJOR_ED_GROUP_BROAD_NEW,Field of study for first bachelor's degree (broad group),CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,All respondents,$EDU19BROAD
NBAMEMG,J_ED_BA_MAJOR_ED_GROUP_MAJOR_NEW,Field of study for first bachelor's degree (major group),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents,$MAJOR_GROUP_CODES_NEW
NBAMENG,J_ED_BA_MAJOR_ED_GROUP_MINOR_NEW,Field of study for first bachelor's degree (minor group),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents,$MINOR_ED_GROUP_CODES_NEW
NBANENG,J_ED_BA_MAJOR_2ND_MAJ_ED_GRP_MINOR_NEW,Field of study of second major for first bachelor's degree - best code (minor group),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents,$MINOR_ED_GROUP_CODES_NEW
NBASEMG,J_ED_BA_MAJOR_2ND_MAJ_ED_GRP_MAJOR_NEW,Field of study of second major for first bachelor's degree - best code (major group),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents,$MAJOR_GROUP_CODES_NEW
ND2MEMG,P_ED_2ND_HD_MAJOR_ED_GRP_MAJOR_NEW,Field of study for second highest degree (major group),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with two or more degrees,$MAJOR_GROUP_CODES_NEW
ND2MENG,P_ED_2ND_HD_MAJOR_ED_GRP_MINOR_NEW,Field of study for second highest degree (minor group),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with two or more degrees,$MINOR_ED_GROUP_CODES_NEW
ND2NENG,P_ED_2ND_HD_MAJOR_2ND_MAJ_ED_GRP_MINOR_NEW,Field of study of second major for second highest degree - best code (minor group),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with two or more degrees,$MINOR_ED_GROUP_CODES_NEW
ND2SEMG,P_ED_2ND_HD_MAJOR_2ND_MAJ_ED_GRP_MAJOR_NEW,Field of study of second major for second highest degree - best code (major group),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with two or more degrees,$MAJOR_GROUP_CODES_NEW
ND3MEMG,Q_ED_3RD_HD_MAJOR_ED_GRP_MAJOR_NEW,Field of study for third highest degree (major group),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with three or more degrees,$MAJOR_GROUP_CODES_NEW
ND3MENG,Q_ED_3RD_HD_MAJOR_ED_GRP_MINOR_NEW,Field of study for third highest degree (minor group),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with three or more degrees,$MINOR_ED_GROUP_CODES_NEW
ND3NENG,Q_ED_3RD_HD_MAJOR_2ND_MAJ_ED_GRP_MINOR_NEW,Field of study of second major for third highest degree - best code (minor group),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with three or more degrees,$MINOR_ED_GROUP_CODES_NEW
ND3SEMG,Q_ED_3RD_HD_MAJOR_2ND_MAJ_ED_GRP_MAJOR_NEW,Field of study of second major for third highest degree - best code (major group),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with three or more degrees,$MAJOR_GROUP_CODES_NEW
ND4MEMG,R_ED_4TH_HD_MAJOR_ED_GRP_MAJOR_NEW,Field of study for fourth highest degree (major group),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with four or more degrees,$MAJOR_GROUP_CODES_NEW
ND4MENG,R_ED_4TH_HD_MAJOR_ED_GRP_MINOR_NEW,Field of study for fourth highest degree (minor group),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with four or more degrees,$MINOR_ED_GROUP_CODES_NEW
ND4NENG,R_ED_4TH_HD_MAJOR_2ND_MAJ_ED_GRP_MINOR_NEW,Field of study of second major for fourth highest degree - best code (minor group),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with four or more degrees,$MINOR_ED_GROUP_CODES_NEW
